Chromosome	Start	Ratio	MedianRatio	CopyNumber	BAF	estimatedBAF	Genotype	UncertaintyOfGT
1	10100001	-1	-1	2	-1	2	-	-1
1	10150001	-1	-1	2	-1	2	-	-1
1	10200001	-1	-1	2	-1	2	-	-1
1	10250001	-1	-1	2	-1	2	-	-1
1	10300001	-1	-1	2	-1	2	-	-1
1	10350001	-1	-1	2	-1	2	-	-1
1	10400001	-1	-1	2	-1	2	-	-1
1	10450001	-1	-1	2	-1	2	-	-1
1	10500001	-1	-1	2	-1	2	-	-1
1	10550001	-1	-1	2	-1	2	-	-1
1	10600001	-1	-1	2	-1	2	-	-1
1	10650001	-1	-1	2	-1	2	-	-1
1	10700001	-1	-1	2	-1	2	-	-1
1	10750001	-1	-1	2	-1	2	-	-1
1	10800001	-1	-1	2	-1	2	-	-1
1	10850001	-1	-1	2	-1	2	-	-1
1	10900001	-1	-1	2	-1	2	-	-1
1	10950001	-1	-1	2	-1	2	-	-1
1	11000001	-1	-1	2	-1	2	-	-1
1	11050001	-1	-1	2	-1	2	-	-1
1	11100001	-1	-1	2	-1	2	-	-1
1	11150001	-1	-1	2	-1	2	-	-1
1	11200001	-1	-1	2	-1	2	-	-1
1	11250001	-1	-1	2	-1	2	-	-1
1	11300001	-1	-1	2	-1	2	-	-1
1	11350001	-1	-1	2	-1	2	-	-1
1	11400001	-1	-1	2	-1	2	-	-1
1	11450001	-1	-1	2	-1	2	-	-1
1	11500001	-1	-1	2	-1	2	-	-1
1	11550001	-1	-1	2	-1	2	-	-1
1	11600001	-1	-1	2	-1	2	-	-1
1	11650001	-1	-1	2	-1	2	-	-1
1	11700001	-1	-1	2	-1	2	-	-1
1	11750001	-1	-1	2	-1	2	-	-1
1	11800001	-1	-1	2	-1	2	-	-1
1	11850001	-1	-1	2	-1	2	-	-1
1	11900001	-1	-1	2	-1	2	-	-1
1	11950001	-1	-1	2	-1	2	-	-1
1	12000001	-1	-1	2	-1	2	-	-1
1	12050001	-1	-1	2	-1	2	-	-1
1	12100001	-1	-1	2	-1	2	-	-1
1	12150001	-1	-1	2	-1	2	-	-1
1	12200001	-1	-1	2	-1	2	-	-1
1	12250001	-1	-1	2	-1	2	-	-1
1	12300001	-1	-1	2	-1	2	-	-1
1	12350001	-1	-1	2	-1	2	-	-1
1	12400001	-1	-1	2	-1	2	-	-1
1	12450001	-1	-1	2	-1	2	-	-1
1	12500001	-1	-1	2	-1	2	-	-1
1	12550001	-1	-1	2	-1	2	-	-1
1	12600001	-1	-1	2	-1	2	-	-1
1	12650001	-1	-1	2	-1	2	-	-1
1	12700001	-1	-1	2	-1	2	-	-1
1	12750001	-1	-1	2	-1	2	-	-1
1	12800001	-1	-1	2	-1	2	-	-1
1	12850001	-1	-1	2	-1	2	-	-1
1	12900001	-1	-1	2	-1	2	-	-1
1	12950001	-1	-1	2	-1	2	-	-1
1	13000001	-1	-1	2	-1	2	-	-1
1	13050001	-1	-1	2	-1	2	-	-1
1	13100001	-1	-1	2	-1	2	-	-1
1	13150001	-1	-1	2	-1	2	-	-1
1	13200001	-1	-1	2	-1	2	-	-1
1	13250001	-1	-1	2	-1	2	-	-1
1	13300001	-1	-1	2	-1	2	-	-1
1	13350001	-1	-1	2	-1	2	-	-1
1	13400001	-1	-1	2	-1	2	-	-1
1	13450001	-1	-1	2	-1	2	-	-1
1	13500001	-1	-1	2	-1	2	-	-1
1	13550001	-1	-1	2	-1	2	-	-1
1	13600001	-1	-1	2	-1	2	-	-1
1	13650001	-1	-1	2	-1	2	-	-1
1	13700001	-1	-1	2	-1	2	-	-1
1	13750001	-1	-1	2	-1	2	-	-1
1	13800001	-1	-1	2	-1	2	-	-1
1	13850001	-1	-1	2	-1	2	-	-1
1	13900001	-1	-1	2	-1	2	-	-1
1	13950001	-1	-1	2	-1	2	-	-1
1	14000001	-1	-1	2	-1	2	-	-1
1	14050001	-1	-1	2	-1	2	-	-1
1	14100001	-1	-1	2	-1	2	-	-1
1	14150001	-1	-1	2	-1	2	-	-1
1	14200001	-1	-1	2	-1	2	-	-1
1	14250001	-1	-1	2	-1	2	-	-1
1	14300001	-1	-1	2	-1	2	-	-1
1	14350001	-1	-1	2	-1	2	-	-1
1	14400001	-1	-1	2	-1	2	-	-1
1	14450001	-1	-1	2	-1	2	-	-1
1	14500001	-1	-1	2	-1	2	-	-1
1	14550001	-1	-1	2	-1	2	-	-1
1	14600001	-1	-1	2	-1	2	-	-1
1	14650001	-1	-1	2	-1	2	-	-1
1	14700001	-1	-1	2	-1	2	-	-1
1	14750001	-1	-1	2	-1	2	-	-1
1	14800001	-1	-1	2	-1	2	-	-1
1	14850001	-1	-1	2	-1	2	-	-1
1	14900001	-1	-1	2	-1	2	-	-1
1	14950001	-1	-1	2	-1	2	-	-1
1	15000001	-1	-1	2	-1	2	-	-1
1	15050001	-1	-1	2	-1	2	-	-1
1	15100001	-1	-1	2	-1	2	-	-1
1	15150001	-1	-1	2	-1	2	-	-1
1	15200001	-1	-1	2	-1	2	-	-1
1	15250001	-1	-1	2	-1	2	-	-1
1	15300001	-1	-1	2	-1	2	-	-1
1	15350001	-1	-1	2	-1	2	-	-1
1	15400001	-1	-1	2	-1	2	-	-1
1	15450001	-1	-1	2	-1	2	-	-1
1	15500001	-1	-1	2	-1	2	-	-1
1	15550001	-1	-1	2	-1	2	-	-1
1	15600001	-1	-1	2	-1	2	-	-1
1	15650001	-1	-1	2	-1	2	-	-1
1	15700001	-1	-1	2	-1	2	-	-1
1	15750001	-1	-1	2	-1	2	-	-1
1	15800001	-1	-1	2	-1	2	-	-1
1	15850001	-1	-1	2	-1	2	-	-1
1	15900001	-1	-1	2	-1	2	-	-1
1	15950001	-1	-1	2	-1	2	-	-1
1	16000001	-1	-1	2	-1	2	-	-1
1	16050001	-1	-1	2	-1	2	-	-1
1	16100001	-1	-1	2	-1	2	-	-1
1	16150001	-1	-1	2	-1	2	-	-1
1	16200001	-1	-1	2	-1	2	-	-1
1	16250001	-1	-1	2	-1	2	-	-1
1	16300001	-1	-1	2	-1	2	-	-1
1	16350001	-1	-1	2	-1	2	-	-1
1	16400001	-1	-1	2	-1	2	-	-1
1	16450001	-1	-1	2	-1	2	-	-1
1	16500001	-1	-1	2	-1	2	-	-1
1	16550001	-1	-1	2	-1	2	-	-1
1	16600001	-1	-1	2	-1	2	-	-1
1	16650001	-1	-1	2	-1	2	-	-1
1	16700001	-1	-1	2	-1	2	-	-1
1	16750001	-1	-1	2	-1	2	-	-1
1	16800001	-1	-1	2	-1	2	-	-1
1	16850001	-1	-1	2	-1	2	-	-1
1	16900001	-1	-1	2	-1	2	-	-1
1	16950001	-1	-1	2	-1	2	-	-1
1	17000001	-1	-1	2	-1	2	-	-1
1	17050001	-1	-1	2	-1	2	-	-1
1	17100001	-1	-1	2	-1	2	-	-1
1	17150001	-1	-1	2	-1	2	-	-1
1	17200001	-1	-1	2	-1	2	-	-1
1	17250001	-1	-1	2	-1	2	-	-1
1	17300001	-1	-1	2	-1	2	-	-1
1	17350001	-1	-1	2	-1	2	-	-1
1	17400001	-1	-1	2	-1	2	-	-1
1	17450001	-1	-1	2	-1	2	-	-1
1	17500001	-1	-1	2	-1	2	-	-1
1	17550001	-1	-1	2	-1	2	-	-1
1	17600001	-1	-1	2	-1	2	-	-1
1	17650001	-1	-1	2	-1	2	-	-1
1	17700001	-1	-1	2	-1	2	-	-1
1	17750001	-1	-1	2	-1	2	-	-1
1	17800001	-1	-1	2	-1	2	-	-1
1	17850001	-1	-1	2	-1	2	-	-1
1	17900001	-1	-1	2	-1	2	-	-1
1	17950001	-1	-1	2	-1	2	-	-1
1	18000001	-1	-1	2	-1	2	-	-1
1	18050001	-1	-1	2	-1	2	-	-1
1	18100001	-1	-1	2	-1	2	-	-1
1	18150001	-1	-1	2	-1	2	-	-1
1	18200001	-1	-1	2	-1	2	-	-1
1	18250001	-1	-1	2	-1	2	-	-1
1	18300001	-1	-1	2	-1	2	-	-1
1	18350001	-1	-1	2	-1	2	-	-1
1	18400001	-1	-1	2	-1	2	-	-1
1	18450001	-1	-1	2	-1	2	-	-1
1	18500001	-1	-1	2	-1	2	-	-1
1	18550001	-1	-1	2	-1	2	-	-1
1	18600001	-1	-1	2	-1	2	-	-1
1	18650001	-1	-1	2	-1	2	-	-1
1	18700001	-1	-1	2	-1	2	-	-1
1	18750001	-1	-1	2	-1	2	-	-1
1	18800001	-1	-1	2	-1	2	-	-1
1	18850001	-1	-1	2	-1	2	-	-1
1	18900001	-1	-1	2	-1	2	-	-1
1	18950001	-1	-1	2	-1	2	-	-1
1	19000001	-1	-1	2	-1	2	-	-1
1	19050001	-1	-1	2	-1	2	-	-1
1	19100001	-1	-1	2	-1	2	-	-1
1	19150001	-1	-1	2	-1	2	-	-1
1	19200001	-1	-1	2	-1	2	-	-1
1	19250001	-1	-1	2	-1	2	-	-1
1	19300001	-1	-1	2	-1	2	-	-1
1	19350001	-1	-1	2	-1	2	-	-1
1	19400001	-1	-1	2	-1	2	-	-1
1	19450001	-1	-1	2	-1	2	-	-1
1	19500001	-1	-1	2	-1	2	-	-1
1	19550001	-1	-1	2	-1	2	-	-1
1	19600001	-1	-1	2	-1	2	-	-1
1	19650001	-1	-1	2	-1	2	-	-1
1	19700001	-1	-1	2	-1	2	-	-1
1	19750001	-1	-1	2	-1	2	-	-1
1	19800001	-1	-1	2	-1	2	-	-1
1	19850001	-1	-1	2	-1	2	-	-1
1	19900001	-1	-1	2	-1	2	-	-1
1	19950001	-1	-1	2	-1	2	-	-1
1	20000001	-1	-1	2	-1	2	-	-1
1	20050001	-1	-1	2	-1	2	-	-1
1	20100001	-1	-1	2	-1	2	-	-1
1	20150001	-1	-1	2	-1	2	-	-1
1	20200001	-1	-1	2	-1	2	-	-1
1	20250001	-1	-1	2	-1	2	-	-1
1	20300001	-1	-1	2	-1	2	-	-1
1	20350001	-1	-1	2	-1	2	-	-1
1	20400001	-1	-1	2	-1	2	-	-1
1	20450001	-1	-1	2	-1	2	-	-1
1	20500001	-1	-1	2	-1	2	-	-1
1	20550001	-1	-1	2	-1	2	-	-1
1	20600001	-1	-1	2	-1	2	-	-1
1	20650001	-1	-1	2	-1	2	-	-1
1	20700001	-1	-1	2	-1	2	-	-1
1	20750001	-1	-1	2	-1	2	-	-1
1	20800001	-1	-1	2	-1	2	-	-1
1	20850001	-1	-1	2	-1	2	-	-1
1	20900001	-1	-1	2	-1	2	-	-1
1	20950001	-1	-1	2	-1	2	-	-1
1	21000001	-1	-1	2	-1	2	-	-1
1	21050001	-1	-1	2	-1	2	-	-1
1	21100001	-1	-1	2	-1	2	-	-1
1	21150001	-1	-1	2	-1	2	-	-1
1	21200001	-1	-1	2	-1	2	-	-1
1	21250001	-1	-1	2	-1	2	-	-1
1	21300001	-1	-1	2	-1	2	-	-1
1	21350001	-1	-1	2	-1	2	-	-1
1	21400001	-1	-1	2	-1	2	-	-1
1	21450001	-1	-1	2	-1	2	-	-1
1	21500001	-1	-1	2	-1	2	-	-1
1	21550001	-1	-1	2	-1	2	-	-1
1	21600001	-1	-1	2	-1	2	-	-1
1	21650001	-1	-1	2	-1	2	-	-1
1	21700001	-1	-1	2	-1	2	-	-1
1	21750001	-1	-1	2	-1	2	-	-1
1	21800001	-1	-1	2	-1	2	-	-1
1	21850001	-1	-1	2	-1	2	-	-1
1	21900001	-1	-1	2	-1	2	-	-1
1	21950001	-1	-1	2	-1	2	-	-1
1	22000001	-1	-1	2	-1	2	-	-1
1	22050001	-1	-1	2	-1	2	-	-1
1	22100001	-1	-1	2	-1	2	-	-1
1	22150001	-1	-1	2	-1	2	-	-1
1	22200001	-1	-1	2	-1	2	-	-1
1	22250001	-1	-1	2	-1	2	-	-1
1	22300001	-1	-1	2	-1	2	-	-1
1	22350001	-1	-1	2	-1	2	-	-1
1	22400001	-1	-1	2	-1	2	-	-1
1	22450001	-1	-1	2	-1	2	-	-1
1	22500001	-1	-1	2	-1	2	-	-1
1	22550001	-1	-1	2	-1	2	-	-1
1	22600001	-1	-1	2	-1	2	-	-1
1	22650001	-1	-1	2	-1	2	-	-1
1	22700001	-1	-1	2	-1	2	-	-1
1	22750001	-1	-1	2	-1	2	-	-1
1	22800001	-1	-1	2	-1	2	-	-1
1	22850001	-1	-1	2	-1	2	-	-1
1	22900001	-1	-1	2	-1	2	-	-1
1	22950001	-1	-1	2	-1	2	-	-1
1	23000001	-1	-1	2	-1	2	-	-1
1	23050001	-1	-1	2	-1	2	-	-1
1	23100001	-1	-1	2	-1	2	-	-1
1	23150001	-1	-1	2	-1	2	-	-1
1	23200001	-1	-1	2	-1	2	-	-1
1	23250001	-1	-1	2	-1	2	-	-1
1	23300001	-1	-1	2	-1	2	-	-1
1	23350001	-1	-1	2	-1	2	-	-1
1	23400001	-1	-1	2	-1	2	-	-1
1	23450001	-1	-1	2	-1	2	-	-1
1	23500001	-1	-1	2	-1	2	-	-1
1	23550001	-1	-1	2	-1	2	-	-1
1	23600001	-1	-1	2	-1	2	-	-1
1	23650001	-1	-1	2	-1	2	-	-1
1	23700001	-1	-1	2	-1	2	-	-1
1	23750001	-1	-1	2	-1	2	-	-1
1	23800001	-1	-1	2	-1	2	-	-1
1	23850001	-1	-1	2	-1	2	-	-1
1	23900001	-1	-1	2	-1	2	-	-1
1	23950001	-1	-1	2	-1	2	-	-1
1	24000001	-1	-1	2	-1	2	-	-1
1	24050001	-1	-1	2	-1	2	-	-1
1	24100001	-1	-1	2	-1	2	-	-1
1	24150001	-1	-1	2	-1	2	-	-1
1	24200001	-1	-1	2	-1	2	-	-1
1	24250001	-1	-1	2	-1	2	-	-1
1	24300001	-1	-1	2	-1	2	-	-1
1	24350001	-1	-1	2	-1	2	-	-1
1	24400001	-1	-1	2	-1	2	-	-1
1	24450001	-1	-1	2	-1	2	-	-1
1	24500001	-1	-1	2	-1	2	-	-1
1	24550001	-1	-1	2	-1	2	-	-1
1	24600001	-1	-1	2	-1	2	-	-1
1	24650001	-1	-1	2	-1	2	-	-1
1	24700001	-1	-1	2	-1	2	-	-1
1	24750001	-1	-1	2	-1	2	-	-1
1	24800001	-1	-1	2	-1	2	-	-1
1	24850001	-1	-1	2	-1	2	-	-1
1	24900001	-1	-1	2	-1	2	-	-1
1	24950001	-1	-1	2	-1	2	-	-1
1	25000001	-1	-1	2	-1	2	-	-1
1	25050001	-1	-1	2	-1	2	-	-1
1	25100001	-1	-1	2	-1	2	-	-1
1	25150001	-1	-1	2	-1	2	-	-1
1	25200001	-1	-1	2	-1	2	-	-1
1	25250001	-1	-1	2	-1	2	-	-1
1	25300001	-1	-1	2	-1	2	-	-1
1	25350001	-1	-1	2	-1	2	-	-1
1	25400001	-1	-1	2	-1	2	-	-1
1	25450001	-1	-1	2	-1	2	-	-1
1	25500001	-1	-1	2	-1	2	-	-1
1	25550001	-1	-1	2	-1	2	-	-1
1	25600001	-1	-1	2	-1	2	-	-1
1	25650001	-1	-1	2	-1	2	-	-1
1	25700001	-1	-1	2	-1	2	-	-1
1	25750001	-1	-1	2	-1	2	-	-1
1	25800001	-1	-1	2	-1	2	-	-1
1	25850001	-1	-1	2	-1	2	-	-1
1	25900001	-1	-1	2	-1	2	-	-1
1	25950001	-1	-1	2	-1	2	-	-1
1	26000001	-1	-1	2	-1	2	-	-1
1	26050001	-1	-1	2	-1	2	-	-1
1	26100001	-1	-1	2	-1	2	-	-1
1	26150001	-1	-1	2	-1	2	-	-1
1	26200001	-1	-1	2	-1	2	-	-1
1	26250001	-1	-1	2	-1	2	-	-1
1	26300001	-1	-1	2	-1	2	-	-1
1	26350001	-1	-1	2	-1	2	-	-1
1	26400001	-1	-1	2	-1	2	-	-1
1	26450001	-1	-1	2	-1	2	-	-1
1	26500001	-1	-1	2	-1	2	-	-1
1	26550001	-1	-1	2	-1	2	-	-1
1	26600001	-1	-1	2	-1	2	-	-1
1	26650001	-1	-1	2	-1	2	-	-1
1	26700001	-1	-1	2	-1	2	-	-1
1	26750001	-1	-1	2	-1	2	-	-1
1	26800001	-1	-1	2	-1	2	-	-1
1	26850001	-1	-1	2	-1	2	-	-1
1	26900001	-1	-1	2	-1	2	-	-1
1	26950001	-1	-1	2	-1	2	-	-1
1	27000001	-1	-1	2	-1	2	-	-1
1	27050001	-1	-1	2	-1	2	-	-1
1	27100001	-1	-1	2	-1	2	-	-1
1	27150001	-1	-1	2	-1	2	-	-1
1	27200001	-1	-1	2	-1	2	-	-1
1	27250001	-1	-1	2	-1	2	-	-1
1	27300001	-1	-1	2	-1	2	-	-1
1	27350001	-1	-1	2	-1	2	-	-1
1	27400001	-1	-1	2	-1	2	-	-1
1	27450001	-1	-1	2	-1	2	-	-1
1	27500001	-1	-1	2	-1	2	-	-1
1	27550001	-1	-1	2	-1	2	-	-1
1	27600001	-1	-1	2	-1	2	-	-1
1	27650001	-1	-1	2	-1	2	-	-1
1	27700001	-1	-1	2	-1	2	-	-1
1	27750001	-1	-1	2	-1	2	-	-1
1	27800001	-1	-1	2	-1	2	-	-1
1	27850001	-1	-1	2	-1	2	-	-1
1	27900001	-1	-1	2	-1	2	-	-1
1	27950001	-1	-1	2	-1	2	-	-1
1	28000001	-1	-1	2	-1	2	-	-1
1	28050001	-1	-1	2	-1	2	-	-1
1	28100001	-1	-1	2	-1	2	-	-1
1	28150001	-1	-1	2	-1	2	-	-1
1	28200001	-1	-1	2	-1	2	-	-1
1	28250001	-1	-1	2	-1	2	-	-1
1	28300001	-1	-1	2	-1	2	-	-1
1	28350001	-1	-1	2	-1	2	-	-1
1	28400001	-1	-1	2	-1	2	-	-1
1	28450001	-1	-1	2	-1	2	-	-1
1	28500001	-1	-1	2	-1	2	-	-1
1	28550001	-1	-1	2	-1	2	-	-1
1	28600001	-1	-1	2	-1	2	-	-1
1	28650001	-1	-1	2	-1	2	-	-1
1	28700001	-1	-1	2	-1	2	-	-1
1	28750001	-1	-1	2	-1	2	-	-1
1	28800001	-1	-1	2	-1	2	-	-1
1	28850001	-1	-1	2	-1	2	-	-1
1	28900001	-1	-1	2	-1	2	-	-1
